##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
previous operative procedure	5.35.84	past_surgical_history
previous operative procedures	5.35.84	past_surgical_history
previous pap history	5.35.91.109.81	previous_pap_history
previous pap smear	5.35.91.109.81	previous_pap_history
previous pregnancies	5.35.91.108	obstetric_history
previous pregnancy	5.35.91.108	obstetric_history
previous surgery history	5.35.84	past_surgical_history
previous_pap_history	5.35.91.109.81	previous_pap_history
primary care physician	3.10.7.7	primary_physician
primary care provider	3.10.7.7	primary_physician
primary diagnoses	5.22.39	principle_diagnosis
primary diagnosis	5.22.39	principle_diagnosis
primary midwife	3.10.8.20	midwife
primary physician	3.10.7.7	primary_physician
primary procedure	5.23.51	principal_procedures
primary procedures	5.23.51	principal_procedures
primary_physician	3.10.7.7	primary_physician
principal diagnoses	5.22.39	principle_diagnosis
principal diagnosis	5.22.39	principle_diagnosis
principal discharge diagnosis	5.22	diagnoses
principal procedure	5.23.51	principal_procedures
principal procedures	5.23.51	principal_procedures
principal_procedures	5.23.51	principal_procedures
principle diagnoses	5.22.39	principle_diagnosis
principle diagnosis	5.22.39	principle_diagnosis
principle_diagnosis	5.22.39	principle_diagnosis
prior blood product	5.35.85	blood_products
prior blood products	5.35.85	blood_products
prior hospitalization	5.35.90	prior_hosptilization
prior hospitalizations	5.35.90	prior_hosptilization
prior hosptilization	5.35.90	prior_hosptilization
prior pregnancies	5.35.91.108	obstetric_history
prior pregnancy	5.35.91.108	obstetric_history
prior surgical procedure	5.35.84	past_surgical_history
prior surgical procedures	5.35.84	past_surgical_history
prior tranfusions	5.35.85	blood_products
prior treatment for psychological problem	5.35.100	psychiatric_history
prior treatment for psychological problems	5.35.100	psychiatric_history
prior treatment psychological problem	5.35.100	psychiatric_history
prior_hosptilization	5.35.90	prior_hosptilization
private physician	3.10.7.3	private_physician
private_physician	3.10.7.3	private_physician
problem	11	problem_list
problem list	11	problem_list
problem_list	11	problem_list
problems	11	problem_list
procedural	5.23	procedures
procedural complication	15.62	complications
procedural complications	15.62	complications
procedure	5.23	procedures
procedure #2	5.23.52	surgical_procedures
procedure date	5.16.35.41	date_of_procedure
procedure note	2.7	procedure_note
procedure perform	5.23	procedures
procedure perform during hospitalization	5.23	procedures
procedure perform during the hospitalization	5.23	procedures
procedure performed	5.23	procedures
procedure_note	2.7	procedure_note
procedures	5.23	procedures
procedures performed during the hospitalization	5.23	procedures
progress note	2.6	progress_note
progress_note	2.6	progress_note
proph	13.51.156.276	prophylaxis_plan
prophy	13.51.156.276	prophylaxis_plan
prophylaxis	13.51.156.276	prophylaxis_plan
prophylaxis plan	13.51.156.276	prophylaxis_plan
prophylaxis_plan	13.51.156.276	prophylaxis_plan
proprioception	6.40.139.199.140.129.74	proprioception_sensation
proprioception sensation	6.40.139.199.140.129.74	proprioception_sensation
proprioception_sensation	6.40.139.199.140.129.74	proprioception_sensation
prostate	6.40.139.197.135.113	prostate_exam
prostate biopsy	6.41.153.268	prostate_biopsy
prostate biopsy aspirate	6.41.153.268	prostate_biopsy
prostate biopsy or aspirate	6.41.153.268	prostate_biopsy
prostate cancer screening	5.36.103.116.86	prostate_cancer_screening
prostate exam	6.40.139.197.135.113	prostate_exam
prostate examination	6.40.139.197.135.113	prostate_exam
prostate screening	5.36.103.116.86	prostate_cancer_screening
prostate_biopsy	6.41.153.268	prostate_biopsy
prostate_cancer_screening	5.36.103.116.86	prostate_cancer_screening
prostate_exam	6.40.139.197.135.113	prostate_exam
provider	3	providers
provider by role	3.11	providers_by_role
provider by type	3.10	providers_by_type
provider number	3	providers
provider role	3.11	providers_by_role
provider type	3.10	providers_by_type
providers	3	providers
providers by role	3.11	providers_by_role
providers by type	3.10	providers_by_type
providers_by_role	3.11	providers_by_role
providers_by_type	3.10	providers_by_type
proximal interphalangeal joint	5.39.124.160.105.67	pip_review
psh	5.35.84	past_surgical_history
pshx	5.35.84	past_surgical_history
pshx	5.34.78	personal_and_social_history
pso	5.34.78	personal_and_social_history
psyc	5.32.77.80.20	psychiatric_course
psyc	6.40.139.199.141	psychiatric_exam
psyc	5.34.79.103.64.50	psychiatric_family_history
psyc	5.39.123.151	psychiatric_review
psych	5.32.77.80.20	psychiatric_course
psych	6.40.139.199.141	psychiatric_exam
psych	5.34.79.103.64.50	psychiatric_family_history
psych	13.51.157.291.196	psychiatric_plan
psych	5.39.123.151	psychiatric_review
psychiatric	5.32.77.80.20	psychiatric_course
psychiatric	6.40.139.199.141	psychiatric_exam
psychiatric	5.34.79.103.64.50	psychiatric_family_history
psychiatric	13.51.157.291.196	psychiatric_plan
psychiatric	5.39.123.151	psychiatric_review
psychiatric course	5.32.77.80.20	psychiatric_course
psychiatric diagnostic classification	5.22.49	psychiatric_diagnostic_classifications
psychiatric diagnostic classifications	5.22.49	psychiatric_diagnostic_classifications
psychiatric exam	6.40.139.199.141	psychiatric_exam
psychiatric examination	6.40.139.199.141	psychiatric_exam
psychiatric family history	5.34.79.103.64.50	psychiatric_family_history
psychiatric finding	6.40.139.199.141	psychiatric_exam
psychiatric findings	6.40.139.199.141	psychiatric_exam
psychiatric history	5.35.100	psychiatric_history
psychiatric plan	13.51.157.291.196	psychiatric_plan
psychiatric risk factor	5.30.73	psychological_risk_factors
psychiatric risk factors	5.30.73	psychological_risk_factors
psychiatric symptom disease	5.32.77.80.20	psychiatric_course
psychiatric symptoms & diseases	5.32.77.80.20	psychiatric_course
psychiatric_course	5.32.77.80.20	psychiatric_course
psychiatric_diagnostic_classifications	5.22.49	psychiatric_diagnostic_classifications
psychiatric_exam	6.40.139.199.141	psychiatric_exam
psychiatric_family_history	5.34.79.103.64.50	psychiatric_family_history
psychiatric_history	5.35.100	psychiatric_history
psychiatric_plan	13.51.157.291.196	psychiatric_plan
psychiatric_review	5.39.123.151	psychiatric_review
psychological data	6.41.151	psychological_data
psychological educational test	6.41.151	psychological_data
psychological risk	5.30.73	psychological_risk_factors
psychological risk factor	5.30.73	psychological_risk_factors
psychological risk factors	5.30.73	psychological_risk_factors
psychological stressor	5.34.78.100	psychological_stressors
psychological stressors	5.34.78.100	psychological_stressors
psychological test	6.41.151	psychological_data
psychological testing	6.41.151	psychological_data
psychological/educational testing	6.41.151	psychological_data
psychological_data	6.41.151	psychological_data
psychological_risk_factors	5.30.73	psychological_risk_factors
psychological_stressors	5.34.78.100	psychological_stressors
psychosocial assessment	6.40.139.199.141.140	psychosocial_assessment
psychosocial history	5.34.78	personal_and_social_history
psychosocial problem	5.35.100	psychiatric_history
psychosocial problems	5.35.100	psychiatric_history
psychosocial risk	5.30.73	psychological_risk_factors
psychosocial risks	5.30.73	psychological_risk_factors
psychosocial strength and weakness	6.40.139.199.141.140	psychosocial_assessment
psychosocial strength weakness	6.40.139.199.141.140	psychosocial_assessment
psychosocial strengths and weaknesses	6.40.139.199.141.140	psychosocial_assessment
psychosocial_assessment	6.40.139.199.141.140	psychosocial_assessment
pt history	5	patient_history
pttxxx	6.41.144.206.154	coagulation_panel
ptxxx	6.41.144.206.154	coagulation_panel
pu	5.34.79.102.53.46	paternal_uncle_medical_history
pulm	5.32.77.87	pulmonary_course
pulm	6.40.139.195.128	pulmonary_exam
pulm	5.34.79.103.71	pulmonary_family_history
pulm	13.51.157.296	pulmonary_plan
pulm	5.39.132	pulmonary_review
pulmary system	5.34.79.103.71	pulmonary_family_history
pulmary system	5.39.132	pulmonary_review
pulmonary	5.32.77.87	pulmonary_course
pulmonary	6.40.139.195.128	pulmonary_exam
pulmonary	5.34.79.103.71	pulmonary_family_history
pulmonary	13.51.157.296	pulmonary_plan
pulmonary	5.39.132	pulmonary_review
pulmonary arteriography	6.41.149.234.162.170	pulmonary_arteriography
pulmonary course	5.32.77.87	pulmonary_course
pulmonary disease	5.34.79.103.71	pulmonary_family_history
pulmonary diseases	5.34.79.103.71	pulmonary_family_history
pulmonary exam	6.40.139.195.128	pulmonary_exam
pulmonary examination	6.40.139.195.128	pulmonary_exam
pulmonary family history	5.34.79.103.71	pulmonary_family_history
pulmonary function test	6.41.146.226	pfts
pulmonary function tests	6.41.146.226	pfts
pulmonary lab	6.41.146	pulmonary_tests
pulmonary labs	6.41.146	pulmonary_tests
pulmonary plan	13.51.157.296	pulmonary_plan
pulmonary risk	5.30.70	pulmonary_risk_factors
pulmonary risk factor	5.30.70	pulmonary_risk_factors
pulmonary risk factors	5.30.70	pulmonary_risk_factors
pulmonary sleep monitor	6.41.146.224	sleep_studies
pulmonary sleep monitoring	6.41.146.224	sleep_studies
pulmonary test	6.41.146	pulmonary_tests
pulmonary tests	6.41.146	pulmonary_tests
pulmonary_arteriography	6.41.149.234.162.170	pulmonary_arteriography
pulmonary_course	5.32.77.87	pulmonary_course
pulmonary_exam	6.40.139.195.128	pulmonary_exam
pulmonary_family_history	5.34.79.103.71	pulmonary_family_history
pulmonary_plan	13.51.157.296	pulmonary_plan
pulmonary_review	5.39.132	pulmonary_review
pulmonary_risk_factors	5.30.70	pulmonary_risk_factors
pulmonary_tests	6.41.146	pulmonary_tests
pulse	6.40.136.166	heart_rate
pulse	6.40.139.201	vascular_exam
pulses	6.40.139.201	vascular_exam
pupil	6.40.139.191.120.80.32.13	pupil_exam
pupil exam	6.40.139.191.120.80.32.13	pupil_exam
pupil examination	6.40.139.191.120.80.32.13	pupil_exam
pupil_exam	6.40.139.191.120.80.32.13	pupil_exam
purpose of study	5.29	reason_for_study
purpose study	5.29	reason_for_study
pursuit	6.40.139.191.120.80.33.14	pursuit
pyelography	6.41.149.234.162.176	pyelography
race	5.14.15	race
race ethnic background	5.14.15	race
race/ethnic background	5.14.15	race
radiation therapy exposure history	5.35.86	radiation_therapy_or_exposure_history
radiation therapy or exposure history	5.35.86	radiation_therapy_or_exposure_history
radiation_therapy_or_exposure_history	5.35.86	radiation_therapy_or_exposure_history
radiograph	6.41.149	radiographic_studies
radiographic finding	6.41.149.232	imaging_findings
radiographic findings	6.41.149.232	imaging_findings
radiographic impression	6.41.149.233	imaging_impression
radiographic studies	6.41.149	radiographic_studies
radiographic study	6.41.149	radiographic_studies
radiographic_studies	6.41.149	radiographic_studies
radiographs	6.41.149	radiographic_studies
radiography	6.41.149	radiographic_studies
radiologic data	6.41.149	radiographic_studies
radiological cardiological studies	6.41.145-25	radiological_cardiological_studies
radiological cardiological study	6.41.145-25	radiological_cardiological_studies
radiological data	6.41.149	radiographic_studies
radiological_cardiological_studies	6.41.145-25	radiological_cardiological_studies
radiologist	3.10.7.17	radiologist
radiology	6.41.149	radiographic_studies
radiology report	6.41.149	radiographic_studies
radiology reports	6.41.149	radiographic_studies
radiology result	6.41.149	radiographic_studies
radiology results	6.41.149	radiographic_studies
radiology studies	6.41.149	radiographic_studies
radiology study	6.41.149	radiographic_studies
radionuclide imaging	6.41.149.234.163	radionuclide_imaging
radionuclide ventilation perfusion scan	6.41.149.234.163.185	ventilation_perfusion_scan
radionuclide_imaging	6.41.149.234.163	radionuclide_imaging
rash	5.39.114	dermatological_review
rash	6.40.139.190.113	rash_exam
rash exam	6.40.139.190.113	rash_exam
rash examination	6.40.139.190.113	rash_exam
rash_exam	6.40.139.190.113	rash_exam
reason admission	5.26	chief_complaint
reason admission chief complaint	5.26	chief_complaint
reason admission consultation	5.26	chief_complaint
reason consult	5.27	reason_for_consult
reason consult question	5.27	reason_for_consult
reason consultation	5.27	reason_for_consult
reason exam	5.29	reason_for_study
reason for admission	5.26	chief_complaint
reason for admission and consultation	5.26	chief_complaint
reason for admission chief complaint	5.26	chief_complaint
reason for admission/chief complaint	5.26	chief_complaint
reason for consult	5.27	reason_for_consult
reason for consult question	5.27	reason_for_consult
reason for consult/questions	5.27	reason_for_consult
reason for consultation	5.27	reason_for_consult
reason for exam	5.29	reason_for_study
reason for hospitalization	5.26	chief_complaint
reason for referral	5.27	reason_for_consult
reason for study	5.29	reason_for_study
reason for visit	5.26	chief_complaint
reason hospitalization	5.26	chief_complaint
reason referral	5.27	reason_for_consult
reason study	5.29	reason_for_study
reason visit	5.26	chief_complaint
reason_for_consult	5.27	reason_for_consult
reason_for_study	5.29	reason_for_study
rec	13.51	plan
recall	6.40.139.199.139.124.59	recall
recent radiology impression	6.41.149	radiographic_studies
recent radiology impressions	6.41.149	radiographic_studies
recommend reading	20.64	recommended_reading
recommendation	13.51	plan
recommendation and treatment plan	13.51	plan
recommendation plan	13.51	plan
recommendation treatment plan	13.51	plan
recommendations	13.51	plan
recommendations and treatment plan	13.51	plan
recommendations/plan	13.51	plan
recommended reading	20.64	recommended_reading
recommended_reading	20.64	recommended_reading
recreational drug	5.34.78.93.36	recreational_drug_use
recreational drug use	5.34.78.93.36	recreational_drug_use
recreational drugs	5.34.78.93.36	recreational_drug_use
recreational_drug_use	5.34.78.93.36	recreational_drug_use
recs	13.51	plan
rectal	6.40.139.197.135	rectal_exam
rectal and perineal exam	6.40.139.197.135	rectal_exam
rectal biopsy	6.41.153.261	rectal_biopsy
rectal exam	6.40.139.197.135	rectal_exam
rectal examination	6.40.139.197.135	rectal_exam
rectal perineal exam	6.40.139.197.135	rectal_exam
rectal_biopsy	6.41.153.261	rectal_biopsy
rectal_exam	6.40.139.197.135	rectal_exam
rectum	6.40.139.197.135	rectal_exam
rectum anus biopsy	6.41.153.261	rectal_biopsy
rectum or anus biopsy	6.41.153.261	rectal_biopsy
refer obstetrician	3.11.10.25	referring_physician
refer pediatrician	3.11.10.25	referring_physician
refer physician	3.11.10.25	referring_physician
reference	20	references
references	20	references
referral	3.11.10	referral
referral source	3.11.10	referral
referring obstetrician	3.11.10.25	referring_physician
referring pediatrician	3.11.10.25	referring_physician
referring physician	3.11.10.25	referring_physician
referring physicians	3.11.10.25	referring_physician
referring_physician	3.11.10.25	referring_physician
reflex	6.40.139.199.140.128	reflex_exam
reflex exam	6.40.139.199.140.128	reflex_exam
reflex examination	6.40.139.199.140.128	reflex_exam
reflex_exam	6.40.139.199.140.128	reflex_exam
reflexes	6.40.139.199.140.128	reflex_exam
registration	6.40.139.199.139.124.56	registration
registration date	5.16	date_time
relevant laboratory data	6.41	laboratory_and_radiology_data
reliability	1.2	reliability
religion	5.34.78.99	religious_history
religious affiliation	5.34.78.99	religious_history
religious history	5.34.78.99	religious_history
religious_history	5.34.78.99	religious_history
renal	13.51.157.299	renal_plan
renal	5.39.133	renal_review
renal adrenal angiography	6.41.149.234.162.179.109	renal_and_adrenal_angiography
renal and adrenal angiography	6.41.149.234.162.179.109	renal_and_adrenal_angiography
renal plan	13.51.157.299	renal_plan
renal transplant	13.51.156.279.184	renal_transplant_plan
renal transplant plan	13.51.156.279.184	renal_transplant_plan
renal_and_adrenal_angiography	6.41.149.234.162.179.109	renal_and_adrenal_angiography
renal_plan	13.51.157.299	renal_plan
renal_review	5.39.133	renal_review
renal_transplant_plan	13.51.156.279.184	renal_transplant_plan
report	19	report
report date	5.16.35.45	report_date
report status	14.55	report_status
report_date	5.16.35.45	report_date
report_status	14.55	report_status
reproductive	5.32.77.79.19	genital_course
reproductive	5.34.79.103.63.49	genital_family_history
reproductive	5.39.122.150	genital_review
reproductive history	5.35.91	reproductive_history
reproductive system	5.32.77.79.19	genital_course
reproductive system	5.34.79.103.63.49	genital_family_history
reproductive system	5.39.122.150	genital_review
reproductive_history	5.35.91	reproductive_history
request physician	3.10.7.2	requesting_physician
requesting physician	3.10.7.2	requesting_physician
requesting_physician	3.10.7.2	requesting_physician
residence or travel history	5.34.78.98	travel_history
residence travel history	5.34.78.98	travel_history
resident	3.10.7.14	resident
resp	5.32.77.87	pulmonary_course
resp	6.40.139.195.128	pulmonary_exam
resp	5.34.79.103.71	pulmonary_family_history
resp	13.51.157.296	pulmonary_plan
resp	5.39.132	pulmonary_review
resp rate	6.40.136.167	respiratory_rate
respiration	6.40.136.167	respiratory_rate
respirations	6.40.136.167	respiratory_rate
respiratory	5.32.77.87	pulmonary_course
respiratory	6.40.139.195.128	pulmonary_exam
respiratory	5.34.79.103.71	pulmonary_family_history
respiratory	13.51.157.296	pulmonary_plan
respiratory	5.39.132	pulmonary_review
respiratory cardiovascular	5.32.77.87	pulmonary_course
respiratory cardiovascular	6.40.139.195.128	pulmonary_exam
respiratory cardiovascular	13.51.157.296	pulmonary_plan
respiratory cardiovascular	5.39.132	pulmonary_review
respiratory rate	6.40.136.167	respiratory_rate
respiratory rate and pattern of respiration	6.40.136.167	respiratory_rate
respiratory rate pattern respiration	6.40.136.167	respiratory_rate
respiratory status	5.32.77.87	pulmonary_course
respiratory status	6.40.139.195.128	pulmonary_exam
respiratory status	13.51.157.296	pulmonary_plan
respiratory status	5.39.132	pulmonary_review
respiratory system	5.32.77.87	pulmonary_course
respiratory system	6.40.139.195.128	pulmonary_exam
respiratory system	5.39.132	pulmonary_review
respiratory tract endoscopy	6.41.150.237	respiratory_tract_endoscopy
respiratory tract histopathological studies	6.41.153.247	respiratory_tract_histopathological_studies
respiratory tract histopathological study	6.41.153.247	respiratory_tract_histopathological_studies
respiratory/cardiovascular	5.32.77.87	pulmonary_course
respiratory/cardiovascular	6.40.139.195.128	pulmonary_exam
respiratory/cardiovascular	13.51.157.296	pulmonary_plan
respiratory/cardiovascular	5.39.132	pulmonary_review
respiratory_rate	6.40.136.167	respiratory_rate
respiratory_tract_endoscopy	6.41.150.237	respiratory_tract_endoscopy
respiratory_tract_histopathological_studies	6.41.153.247	respiratory_tract_histopathological_studies
result	6.41	laboratory_and_radiology_data
results	6.41	laboratory_and_radiology_data
resuscitation	26	resuscitation
retina	6.40.139.191.120.80.36	retinal_exam
retinal	6.40.139.191.120.80.36	retinal_exam
retinal background	6.40.139.191.120.80.36.19	retinal_background
retinal exam	6.40.139.191.120.80.36	retinal_exam
retinal examination	6.40.139.191.120.80.36	retinal_exam
retinal vessel	6.40.139.191.120.80.36.18	retinal_vessels
retinal vessels	6.40.139.191.120.80.36.18	retinal_vessels
retinal_background	6.40.139.191.120.80.36.19	retinal_background
retinal_exam	6.40.139.191.120.80.36	retinal_exam
retinal_vessels	6.40.139.191.120.80.36.18	retinal_vessels
return clinic	9	follow_up
return to clinic	9	follow_up
return to work	27	return_work
return_work	27	return_work
review cardiovascular respiratory thoracic symptom	5.39.118	cardiovascular_review
review disease congenital inherit nature history	5.39.130	congenital_review
review disease metabolism endocrine system	5.39.128	endocrine_metabolic_review
review disease neoplastic malignant nature history	5.39.131	oncologic_review
review disorder musculoskeletal system	5.39.124.160	musculoskeletal_review
review gastrointestinal dietary history symptom	5.39.121	gastrointestinal_review
review general symptom	6.40.135	general_exam
review general symptom	5.39.113	general_review
review genitourinary reproductive obstetric symptom	13.51.157.290	genitourinary_plan
review genitourinary reproductive obstetric symptom	5.39.122	genitourinary_review
review head eye ear nose throat symptom	5.39.115	heent_review
review infectios disease history symptom	13.51.157.294	infectious_disease_plan
review infectios disease history symptom	5.39.129	infectious_disease_review
review integumentary symptom	5.34.79.103.57	dermatologic_family_history
review integumentary symptom	5.39.114	dermatological_review
review lymphatic hematopoeitic clot symptom	5.39.117-14	hematologic_lymphatic_review
review neuropsychiatric symptom	5.39.123	neuro_psych_review
review of cardiovascular respiratory and thoracic symptom	5.39.118	cardiovascular_review
review of cardiovascular respiratory and thoracic symptoms	5.39.118	cardiovascular_review
review of disease of congenital or inherit nature history	5.39.130	congenital_review
review of disease of metabolism or endocrine system	5.39.128	endocrine_metabolic_review
review of disease of neoplastic or malignant nature history	5.39.131	oncologic_review
review of diseases of congenital or inherited nature history	5.39.130	congenital_review
review of diseases of metabolism or endocrine system	5.39.128	endocrine_metabolic_review
review of diseases of neoplastic or malignant nature history	5.39.131	oncologic_review
review of disorder of musculoskeletal system	5.39.124.160	musculoskeletal_review
review of disorders of musculoskeletal system	5.39.124.160	musculoskeletal_review
review of gastrointestinal and dietary history and symptom	5.39.121	gastrointestinal_review
review of gastrointestinal and dietary history and symptoms	5.39.121	gastrointestinal_review
review of general symptom	6.40.135	general_exam
review of general symptom	5.39.113	general_review
review of general symptoms	6.40.135	general_exam
review of general symptoms	5.39.113	general_review
review of genitourinary reproductive and obstetric symptom	13.51.157.290	genitourinary_plan
review of genitourinary reproductive and obstetric symptom	5.39.122	genitourinary_review
review of genitourinary reproductive and obstetrical symptoms	13.51.157.290	genitourinary_plan
review of genitourinary reproductive and obstetrical symptoms	5.39.122	genitourinary_review
review of head eye ear nose and throat symptom	5.39.115	heent_review
review of head eyes ears nose and throat symptoms	5.39.115	heent_review
review of infectios disease history or symptom	13.51.157.294	infectious_disease_plan
review of infectios disease history or symptom	5.39.129	infectious_disease_review
review of infectios diseases history or symptoms	13.51.157.294	infectious_disease_plan
review of infectios diseases history or symptoms	5.39.129	infectious_disease_review
review of integumentary symptom	5.34.79.103.57	dermatologic_family_history
review of integumentary symptom	5.39.114	dermatological_review
review of integumentary symptoms	5.34.79.103.57	dermatologic_family_history
review of integumentary symptoms	5.39.114	dermatological_review
review of lymphatic hematopoeitic and clot symptom	5.39.117-14	hematologic_lymphatic_review
review of lymphatic hematopoeitic and clotting symptoms	5.39.117-14	hematologic_lymphatic_review
review of neuropsychiatric symptom	5.39.123	neuro_psych_review
review of neuropsychiatric symptoms	5.39.123	neuro_psych_review
review of symptom and disease	5.39	review_of_systems
review of symptoms and diseases	5.39	review_of_systems
review of system	5.39	review_of_systems
review of system overview	5.39.113	general_review
review of systems	5.39	review_of_systems
review of systems overview	5.39.113	general_review
review symptom disease	5.39	review_of_systems
review system	5.39	review_of_systems
review system overview	5.39.113	general_review
review_of_systems	5.39	review_of_systems
reviewed by	3	providers
rheum	6.40.139.200	musculoskeletal_rheumatological_exam
rheum	5.32.77.81.24	rheumatological_course
rheum	5.34.79.103.65.54	rheumatological_family_history
rheum	13.51.157.292.201	rheumatological_plan
rheum	5.39.124.161	rheumatological_review
rheumatologic	6.40.139.200	musculoskeletal_rheumatological_exam
rheumatological	6.40.139.200	musculoskeletal_rheumatological_exam
rheumatological	5.32.77.81.24	rheumatological_course
rheumatological	5.34.79.103.65.54	rheumatological_family_history
rheumatological	13.51.157.292.201	rheumatological_plan
rheumatological	5.39.124.161	rheumatological_review
rheumatological course	5.32.77.81.24	rheumatological_course
rheumatological family history	5.34.79.103.65.54	rheumatological_family_history
rheumatological plan	13.51.157.292.201	rheumatological_plan
rheumatological_course	5.32.77.81.24	rheumatological_course
rheumatological_family_history	5.34.79.103.65.54	rheumatological_family_history
rheumatological_plan	13.51.157.292.201	rheumatological_plan
rheumatological_review	5.39.124.161	rheumatological_review
rib	6.40.139.195.130.106	bony_thorax
rib	6.40.139.200.143	rib_exam
rib exam	6.40.139.195.130.106	bony_thorax
rib exam	6.40.139.200.143	rib_exam
rib examination	6.40.139.200.143	rib_exam
rib sternum and costochondral junction exam	6.40.139.200.143	rib_exam
rib sternum costochondral junction exam	6.40.139.200.143	rib_exam
rib_exam	6.40.139.200.143	rib_exam
ribs	6.40.139.195.130.106	bony_thorax
ribs sternum and costochondral junctions exam	6.40.139.200.143	rib_exam
risk factor	5.30	risk_factors
risk factors	5.30	risk_factors
risk_factors	5.30	risk_factors
ro pmh family history social history	5.39-34	ros_pmh_familyhx_socialhx
ro pmh familyhx socialhx	5.39-34	ros_pmh_familyhx_socialhx
rom	6.40.139.200.142	rom_exam
rom exam	6.40.139.200.142	rom_exam
rom examination	6.40.139.200.142	rom_exam
rom_exam	6.40.139.200.142	rom_exam
room	5.14.26	room
room no	5.14.26	room
room number	5.14.26	room
ros	5.39	review_of_systems
ros pmh familyhx socialhx	5.39-34	ros_pmh_familyhx_socialhx
ros/pmh/family history/social history	5.39-34	ros_pmh_familyhx_socialhx
ros_pmh_familyhx_socialhx	5.39-34	ros_pmh_familyhx_socialhx
routine x ray radiographic study	6.41.149.234.160	routine_xray_radiographic_studies
routine xray radiographic studies	6.41.149.234.160	routine_xray_radiographic_studies
routine_xray_radiographic_studies	6.41.149.234.160	routine_xray_radiographic_studies
rr	6.40.136.167	respiratory_rate
rtc	9	follow_up
s	5.28.57	subjective
sacral_review	5.39.124.160.105.75.28	sacral_review
sacrum	5.39.124.160.105.75.28	sacral_review
sacrum	6.40.139.200.147.153.83.32	sacrum_exam
sacrum	13.51.157.292.202.212.112	sacrum_plan
sacrum course	5.32.77.81.23.14.15.2	sacrum_course
sacrum exam	6.40.139.200.147.153.83.32	sacrum_exam
sacrum examination	6.40.139.200.147.153.83.32	sacrum_exam
sacrum plan	13.51.157.292.202.212.112	sacrum_plan
sacrum_course	5.32.77.81.23.14.15.2	sacrum_course
sacrum_exam	6.40.139.200.147.153.83.32	sacrum_exam
sacrum_plan	13.51.157.292.202.212.112	sacrum_plan
safety	5.34.78.96.46	safety_habits
safety habit	5.34.78.96.46	safety_habits
safety habits	5.34.78.96.46	safety_habits
safety_habits	5.34.78.96.46	safety_habits
scalp	6.40.139.191.120.79.31	scalp_exam
scalp exam	6.40.139.191.120.79.31	scalp_exam
scalp examination	6.40.139.191.120.79.31	scalp_exam
scalp_exam	6.40.139.191.120.79.31	scalp_exam
school	5.34.78.90	education_history
school performance	5.34.78.90.31	school_performance
school_performance	5.34.78.90.31	school_performance
schooling	5.34.78.90	education_history
sclera	6.40.139.191.120.80.32.9	sclera_exam
sclera exam	6.40.139.191.120.80.32.9	sclera_exam
sclera examination	6.40.139.191.120.80.32.9	sclera_exam
sclera_exam	6.40.139.191.120.80.32.9	sclera_exam
screening	5.36.103	screening_tests
screening test	5.36.103	screening_tests
screening tests	5.36.103	screening_tests
screening_tests	5.36.103	screening_tests
seasonal allergies	5.32.77.83	allergies_course
seasonal allergies	5.34.79.103.67	allergies_family_history
seasonal allergies	5.39.127	allergy_review
seasonal allergy	5.32.77.83	allergies_course
seasonal allergy	5.34.79.103.67	allergies_family_history
seasonal allergy	5.39.127	allergy_review
seconary diagnoses	5.22.40	secondary_diagnoses
seconary diagnosis	5.22.40	secondary_diagnoses
seconary procedure	5.23.50	secondary_procedures
seconary procedures	5.23.50	secondary_procedures
second assistant	3.11.9.24	second_assistant
second_assistant	3.11.9.24	second_assistant
secondary diagnoses	5.22.40	secondary_diagnoses
secondary diagnosis	5.22.40	secondary_diagnoses
secondary procedure	5.23.50	secondary_procedures
secondary procedures	5.23.50	secondary_procedures
secondary_diagnoses	5.22.40	secondary_diagnoses
secondary_procedures	5.23.50	secondary_procedures
seizure	5.34.79.103.64.52	seizure_family_history
seizure family history	5.34.79.103.64.52	seizure_family_history
seizure history	5.35.98	seizure_history
seizure risk factor	5.30.68.63	epilepsy_risk_factors
seizure risk factors	5.30.68.63	epilepsy_risk_factors
seizure_family_history	5.34.79.103.64.52	seizure_family_history
seizure_history	5.35.98	seizure_history
seizures	5.34.79.103.64.52	seizure_family_history
self esteem	6.40.139.199.141.139	self_esteem
self_esteem	6.40.139.199.141.139	self_esteem
sensation	6.40.139.199.140.129	sensory_exam
sense of touch	6.40.139.199.140.129	sensory_exam
sense touch	6.40.139.199.140.129	sensory_exam
sensory	6.40.139.199.140.129	sensory_exam
